TOTIM           ,  PERIOD        ,   STEP         ,   ZONE         ,         STORAGE,   CONSTANT HEAD,           WELLS,          DRAINS,        RECHARGE,     ET SEGMENTS,  STREAM LEAKAGE,From Other Zones,Total IN        ,         STORAGE,   CONSTANT HEAD,           WELLS,          DRAINS,        RECHARGE,     ET SEGMENTS,  STREAM LEAKAGE,To Other Zones  ,Total Out       , IN-OUT         ,Percent Error   ,   FROM ZONE   0,   FROM ZONE   1,     TO ZONE   0,     TO ZONE   1,
    3.100000E+01,               1,              31,               1,    6.931117E+04,    0.000000E+00,    4.921400E+04,    0.000000E+00,    8.264465E+03,    0.000000E+00,    4.088002E+05,    0.000000E+00,    5.355898E+05,    1.571472E+04,    0.000000E+00,    1.981837E+04,    4.664105E+03,    0.000000E+00,    2.142392E+03,    4.934625E+05,    0.000000E+00,    5.358021E+05,   -2.122860E+02,   -3.962807E-02,    0.000000E+00,    0.000000E+00,    0.000000E+00,    0.000000E+00,
    6.100000E+01,               2,              30,               1,    2.038703E+04,    0.000000E+00,    4.921400E+04,    0.000000E+00,    1.708671E+04,    0.000000E+00,    6.087131E+05,    0.000000E+00,    6.954008E+05,    6.969118E+04,    0.000000E+00,    0.000000E+00,    4.366380E+03,    0.000000E+00,    2.287323E+03,    6.186457E+05,    0.000000E+00,    6.949906E+05,    4.101968E+02,    5.900451E-02,    0.000000E+00,    0.000000E+00,    0.000000E+00,    0.000000E+00,
    9.200000E+01,               3,              31,               1,    1.749392E+04,    0.000000E+00,    4.921400E+04,    0.000000E+00,    1.101977E+04,    0.000000E+00,    6.540892E+05,    0.000000E+00,    7.318169E+05,    3.646444E+04,    0.000000E+00,    0.000000E+00,    4.313578E+03,    0.000000E+00,    2.116686E+03,    6.885886E+05,    0.000000E+00,    7.314833E+05,    3.335764E+02,    4.559233E-02,    0.000000E+00,    0.000000E+00,    0.000000E+00,    0.000000E+00,
    1.230000E+02,               4,              31,               1,    1.311267E+04,    0.000000E+00,    4.921400E+04,    1.787657E-01,    1.384214E+04,    0.000000E+00,    7.284741E+05,    0.000000E+00,    8.046431E+05,    5.611674E+04,    0.000000E+00,    0.000000E+00,    3.791494E+03,    0.000000E+00,    2.717410E+03,    7.416609E+05,    0.000000E+00,    8.042865E+05,    3.566299E+02,    4.433132E-02,    0.000000E+00,    0.000000E+00,    0.000000E+00,    0.000000E+00,
    1.510000E+02,               5,              28,               1,    8.825521E+03,    0.000000E+00,    4.921400E+04,    0.000000E+00,    2.200612E+04,    0.000000E+00,    8.545811E+05,    0.000000E+00,    9.346268E+05,    7.988682E+04,    0.000000E+00,    0.000000E+00,    3.111930E+03,    0.000000E+00,    3.888139E+03,    8.474525E+05,    0.000000E+00,    9.343394E+05,    2.873507E+02,    3.074970E-02,    0.000000E+00,    0.000000E+00,    0.000000E+00,    0.000000E+00,
    1.820000E+02,               6,              31,               1,    4.824583E+03,    0.000000E+00,    4.921400E+04,    0.000000E+00,    8.318046E+04,    0.000000E+00,    9.541751E+05,    0.000000E+00,    1.091394E+06,    7.307964E+04,    0.000000E+00,    2.073617E+04,    6.801693E+03,    0.000000E+00,    1.079102E+01,    9.905776E+05,    0.000000E+00,    1.091206E+06,    1.883158E+02,    1.725610E-02,    0.000000E+00,    0.000000E+00,    0.000000E+00,    0.000000E+00,
    2.120000E+02,               7,              30,               1,    4.040383E+04,    0.000000E+00,    1.339040E+05,    0.000000E+00,    1.599471E+04,    0.000000E+00,    8.652991E+05,    0.000000E+00,    1.055602E+06,    3.035648E+04,    0.000000E+00,    1.333220E+05,    7.341275E+03,    0.000000E+00,    2.284045E+00,    8.845551E+05,    0.000000E+00,    1.055577E+06,    2.448312E+01,    2.319379E-03,    0.000000E+00,    0.000000E+00,    0.000000E+00,    0.000000E+00,
    2.430000E+02,               8,              31,               1,    2.639309E+04,    0.000000E+00,    1.339040E+05,    0.000000E+00,    1.247209E+04,    0.000000E+00,    9.709590E+05,    0.000000E+00,    1.143728E+06,    2.509715E+04,    0.000000E+00,    1.806009E+05,    7.648640E+03,    0.000000E+00,    7.834936E+01,    9.302365E+05,    0.000000E+00,    1.143662E+06,    6.662427E+01,    5.825353E-03,    0.000000E+00,    0.000000E+00,    0.000000E+00,    0.000000E+00,
    2.730000E+02,               9,              30,               1,    1.175733E+05,    0.000000E+00,    8.469000E+04,    0.000000E+00,    3.884826E+04,    0.000000E+00,    7.945348E+05,    0.000000E+00,    1.035646E+06,    9.042939E+03,    0.000000E+00,    2.830358E+05,    7.604249E+03,    0.000000E+00,    2.757304E+02,    7.357346E+05,    0.000000E+00,    1.035693E+06,   -4.694331E+01,   -4.532652E-03,    0.000000E+00,    0.000000E+00,    0.000000E+00,    0.000000E+00,
    3.040000E+02,              10,              31,               1,    3.431057E+05,    0.000000E+00,    8.469000E+04,    0.000000E+00,    7.107580E+04,    0.000000E+00,    2.715629E+05,    0.000000E+00,    7.704344E+05,    6.566823E+03,    0.000000E+00,    4.351293E+05,    6.436806E+03,    0.000000E+00,    3.684259E+02,    3.219856E+05,    0.000000E+00,    7.704870E+05,   -5.262680E+01,   -6.830563E-03,    0.000000E+00,    0.000000E+00,    0.000000E+00,    0.000000E+00,
