well_code,swn,well_name,latitude,longitude,wlm_method,wlm_acc,basin_code,basin_name,county_name,well_depth,well_use,well_type,wcr_log_no,wcr_file_no,well_loc_source,comments,x_proj,y_proj,top_prf,bot_prf,top_prf_m,bot_prf_m,well_depth_m,gp_elev_ft,gp_elev_m
412455N1224899W001,,SCV04,41.4093,-122.8165,GPS,20 ft.,1-005,Scott River Valley,Siskiyou,,Residential,Single Well,,,DWR_Periodic_GWL,,515336.7713218055,4584211.108539371,,,,,,2724.0,830.2752
412990N1225279W001,,SCV 02,41.4984,-122.8798,GPS,20 ft.,1-005,Scott River Valley,Siskiyou,,Residential,Single Well,,,DWR_Periodic_GWL,,510032.4728112383,4594093.564424659,,,,,,2756.75,840.2574000000001
413348N1225123W001,,SCV 01,41.558,-122.8538,GPS,20 ft.,1-005,Scott River Valley,Siskiyou,,Other,Single Well,,,DWR_Periodic_GWL,,512191.36515888077,4600713.684318739,,,,,,2723.25,830.0466
413840N1228301W004,,E3,41.38404,-122.83016,Unknown,Unknown,1-005,Scott River Valley,Siskiyou,60.0,Unknown,Single Well,,,DWR_Periodic_GWL,,514200.576819226,4581404.485047179,,,,,18.288,,
414023N1228691W004,,N17,41.40239,-122.86919,Unknown,Unknown,1-005,Scott River Valley,Siskiyou,179.0,Unknown,Single Well,,,DWR_Periodic_GWL,,510934.14387863374,4583435.989002018,,,,,54.559200000000004,,
414087N1228164W004,,P43,41.4087,-122.8164,Unknown,Unknown,1-005,Scott River Valley,Siskiyou,75.0,Unknown,Single Well,,,DWR_Periodic_GWL,,515345.27042046905,4584144.515767643,,,,,22.86,2909.35,886.7698800000001
414170N1228415W001,,M10,41.41704,-122.8415,Unknown,Unknown,1-005,Scott River Valley,Siskiyou,43.0,Unknown,Single Well,,,DWR_Periodic_GWL,,513245.71982070286,4585066.259470942,,,,,13.1064,,
414423N1229068W001,,Z36,41.44233,-122.90688,Unknown,Unknown,1-005,Scott River Valley,Siskiyou,197.0,Unknown,Single Well,,,DWR_Periodic_GWL,,507778.9446108537,4587865.963386664,,,,,60.0456,,
414473N1228554W004,,M12,41.44735,-122.85549,Unknown,Unknown,1-005,Scott River Valley,Siskiyou,,Unknown,Single Well,,,DWR_Periodic_GWL,,512070.9700981715,4588429.166602408,,,,,,,
414555N1228745W001,42N09W27N002M,42N09W27N002M,41.4555,-122.8745,USGS quad,10 ft.,1-005,Scott River Valley,Siskiyou,80.0,Residential,Single Well,,,DWR_Periodic_GWL,,510481.74593985366,4589331.488688857,,,,,24.384,2933.31,894.072888
414569N1228715W001,42N09W27N001M,42N09W27N001M,41.4569,-122.8715,Unknown,Unknown,1-005,Scott River Valley,Siskiyou,19.0,Unknown,Unknown,,,DWR_Periodic_GWL,,510732.07487860054,4589487.282058365,,,,,5.7912,2933.3,894.0698400000001
414718N1228450W004,,R24,41.47181,-122.84508,Unknown,Unknown,1-005,Scott River Valley,Siskiyou,100.0,Unknown,Single Well,,,DWR_Periodic_GWL,,512935.65990902303,4591146.181347716,,,,,30.48,2769.52,844.1496960000001
