SWBM_id	subws_ID	SWBM_LU	SWBM_IRR	MF_Area_m2	WATERSOURC	AWCcmprcm	Initial_fill_fraction	max_infil_rate	runoff_ISEG	WL_2_CP_Yr	ILR_Flag
1	1	1	2	6737.202668	2	0.379248396	0.707741952	0.353654045	3	0	FALSE
2	1	1	2	943.5999577	2	0.2	0.445825	1.1016	3	0	TRUE
3	6	1	999	17020.16912	2	0.34	0.674	0.314496	3	0	FALSE
4	1	1	999	5236.322461	5	0.2	0	1.1016	3	0	FALSE
5	1	1	2	5701.241354	2	0.35253747	0.685600881	0.318496162	3	0	FALSE
6	5	1	2	15978.6078	2	0.252955512	0.561837925	0.44799898	3	0	FALSE
7	6	1	2	3515.051944	2	0.2	0.445825	1.1016	3	0	FALSE
8	1	1	2	13.69987702	2	0.4	0.7229	0.333504	3	0	FALSE
9	1	1	2	5038.475649	2	0.2	0.311	1.1016	3	1996	FALSE
10	1	1	2	3298.647392	2	0.389031144	0.715084137	0.336120752	3	0	FALSE
11	1	1	2	70933.64162	3	0.34	0.674	0.314496	3	0	FALSE
12	1	1	2	123689.9247	2	0.166862738	0.335755008	0	3	0	FALSE
13	1	1	2	7034.578771	5	0.2	0	1.1016	3	0	FALSE
14	1	1	2	91746.30906	3	0.382976426	0.710578985	0.990619047	3	0	FALSE
15	1	1	999	10738.71904	2	0.2	0.445825	1.093842874	3	0	FALSE
16	1	1	2	165619.7276	2	0.384269604	0.711557711	0.328480949	3	0	TRUE
17	6	1	2	160151.8356	2	0.253068362	0.455489572	5.656799563	3	2005	FALSE
18	3	1	2	60654.18811	2	0.4	0.7229	0.333504	3	0	FALSE
19	6	1	2	78655.2495	2	0.136278254	0.197848881	0	3	0	FALSE
20	1	1	2	127103.4212	2	0.384021618	0.711379222	0	3	2015	FALSE
21	7	1	999	40833.53866	3	0.2	0.445825	1.1016	3	0	FALSE
22	1	1	2	87346.88599	3	0.333225452	0.667370991	0	3	0	FALSE
23	1	1	999	7546.32365	999	0.22	0.496204545	0.379296	3	0	FALSE
24	1	1	2	215353.1923	3	0.308412372	0.640619566	0	3	0	TRUE
25	6	1	555	1761.757227	2	0.2	0	1.1016	3	0	FALSE
26	1	1	2	220541.8985	2	0.19227069	0.423543495	1.357228013	3	2008	FALSE
27	1	1	555	3142.79192	5	0.31304356	0	0.258464595	3	0	FALSE
28	3	1	2	36445.82037	2	0.367409286	0.698322034	0.323123402	3	0	TRUE
29	1	1	2	99705.07081	2	0.185635158	0.402940913	2.904073877	3	0	FALSE
30	1	1	2	399878.0859	3	0.338887428	0.672937327	0.60132562	3	0	FALSE
31	1	1	2	125611.0901	3	0.34	0.674	0.314496	3	0	FALSE
32	4	1	2	151733.092	2	0.34	0.674	0.314496	3	2008	FALSE
33	1	1	2	70676.24113	5	0.2	0	1.1016	3	0	FALSE
34	6	1	2	5964.594312	2	0.232343548	0.406918982	0.914870816	3	2006	FALSE
35	1	1	2	32248.17001	2	0.296620404	0.626339245	0.726350818	3	0	FALSE
36	1	1	2	183096.7379	2	0.34	0.674	0.314496	3	0	FALSE
37	1	1	2	8908.316552	3	0.136929974	0.190553604	10.901088	3	0	FALSE
38	1	1	2	32625.08933	2	0.2	0.445825	1.1016	3	0	TRUE
39	1	1	2	209849.1138	2	0.2	0.445825	1.1016	3	0	TRUE
40	1	1	3	143624.218	2	0.363664428	0.621080817	0	3	-999	FALSE
41	1	1	2	58773.15189	3	0.2	0.445825	1.1016	3	2008	TRUE
42	1	1	2	225940.9648	2	0.2	0.311	1.1016	3	1996	FALSE
43	6	1	2	313095.7342	2	0.196513696	0.435974702	1.557759275	3	0	FALSE
44	1	1	2	26238.9668	2	0.2	0.445825	1.1016	3	0	TRUE
45	1	1	2	110147.4836	2	0.2	0.445825	1.1016	3	0	FALSE
46	1	1	2	323880.5508	2	0.299643756	0.540124721	0	3	2001	FALSE
47	6	1	2	3132.268672	2	0.34	0.674	0.314496	3	0	FALSE
48	1	1	2	9252.314639	2	0.4	0.7229	0.333504	3	0	TRUE
49	1	1	2	606.6406441	5	0.2	0	1.1016	3	0	FALSE
50	6	1	2	103673.2708	2	0.351570628	0.68472728	0.313538359	3	0	FALSE
51	5	1	555	73732.59043	999	0.2	0	1.08237374	3	0	FALSE
52	1	1	2	104437.1735	2	0.2	0.445825	1.1016	3	0	TRUE
53	5	1	2	28489.50397	2	0.4	0.7229	0.333504	3	0	FALSE
54	1	1	2	70490.48048	5	0.2	0	1.1016	3	0	FALSE
55	8	1	2	687051.9423	2	0.33759661	0.591815777	0.545866618	3	2001	FALSE
56	1	1	2	335744.4692	2	0.431850374	0.680907133	0	3	2006	FALSE
57	6	1	2	97452.36985	2	0.253511864	0.562794174	6.380559719	3	0	FALSE
58	5	1	555	374.4486794	999	0.321046912	0	0.345616614	3	0	FALSE
59	1	1	2	30827.82057	2	0.200951942	0.314254241	1.099139887	3	1996	TRUE
60	1	1	2	284759.7259	2	0.429211586	0.741767022	0	3	0	FALSE
61	1	1	2	20548.30403	2	0.380421006	0.708635947	0.327379421	3	0	FALSE
62	1	1	2	136182.7889	2	0.2	0.445825	1.1016	3	0	FALSE
63	1	1	2	1884.690515	2	0.2	0.311	1.1016	3	1996	TRUE
64	1	1	2	269502.6149	2	0.337240176	0.671331639	0.31680703	3	0	FALSE
65	5	1	2	64899.39634	2	0.195378898	0.432697701	1.65544985	3	0	FALSE
66	3	1	2	101503.5557	2	0.4	0.7229	0.36053182	3	0	FALSE
67	1	1	2	31585.92929	2	0.397868164	0.721419872	0.419840077	3	0	TRUE
68	3	1	2	47655.91006	2	0.4	0.7229	0.333504	3	0	FALSE
69	1	1	2	13537.54677	2	0.2	0.445825	1.087516373	3	0	FALSE
70	6	1	2	23610.34376	2	0.39381949	0.718552553	0.364608	3	0	FALSE
71	1	1	2	10781.83693	2	0.25446703	0.458468038	0.810028855	3	2005	FALSE
72	4	1	2	272186.4859	2	0.245927722	0.549307735	0.970946125	3	2015	FALSE
73	6	1	2	19944.2112	2	0.260349194	0.57426719	4.259628042	3	0	FALSE
74	1	1	2	143969.3593	2	0.149247776	0.257357269	9.768127592	3	0	FALSE
75	1	1	2	133784.1979	2	0.34	0.594705882	0.314496	3	2006	TRUE
76	1	1	2	505.1970847	2	0.34	0.674	0.314496	3	0	FALSE
77	6	1	2	201495.3094	2	0.206624696	0.463594148	0	3	0	FALSE
78	1	1	2	127514.1248	2	0.279562228	0.603532892	0.797395653	3	0	FALSE
79	1	1	999	38076.62117	5	0.181717468	0	3.378220744	3	0	FALSE
80	1	1	2	365763.2406	2	0.334441878	0.587964645	0	3	1996	FALSE
81	4	1	2	154921.11	2	0.34	0.674	0.314496	3	0	FALSE
82	1	1	2	42032.83213	2	0.114036654	0.111744773	0	3	0	FALSE
83	1	1	2	25633.74882	2	0.2	0.445825	1.1016	3	0	FALSE
84	3	1	2	38161.76611	3	0.38	0.708315789	0.31104	3	0	FALSE
85	6	1	2	53827.27451	2	0.340077378	0.674081885	0.314584381	3	0	FALSE
86	1	1	2	26930.09875	2	0.2	0.311	1.1016	3	1996	TRUE
87	3	1	2	253276.7162	2	0.398896422	0.722129816	0.333174915	3	0	FALSE
88	1	1	2	64694.97457	2	0.340015332	0.674013724	0.314502182	3	0	FALSE
89	6	1	555	729.8717949	2	0.2	0	0.616896	3	0	FALSE
90	5	1	2	1675.317019	2	0.228558302	0.975593527	0.512575029	3	0	FALSE
91	1	1	2	142203.2519	2	0.360797486	0.939903999	0	3	1996	TRUE
92	1	1	2	185851.1546	2	0.36041706	0.984526093	0.321011164	3	0	FALSE
93	1	1	2	7791.886805	2	0.382145162	0.985397795	0.339271847	3	0	FALSE
94	5	1	555	164.9220207	999	0.28	0.01692625	0.364608	3	0	FALSE
95	1	1	555	35463.13447	5	0.2	0.02369675	1.1016	3	0	FALSE
96	1	1	2	114590.8406	2	0.379591326	0.985309659	0.327076202	3	0	FALSE
97	1	1	2	37830.07563	3	0.20676874	0.973019423	1.061949015	3	0	TRUE
98	1	1	2	9182.29768	2	0.2	0.9721	0.990747619	3	0	FALSE
99	6	1	2	54961.08884	2	0.186692214	0.970126156	2.723628161	3	0	FALSE
100	1	1	2	51081.32076	2	0.2	0.9721	1.1016	3	0	TRUE
101	1	1	2	300949.5276	2	0.340637698	0.983625717	0.314695603	3	0	TRUE
102	5	1	2	47977.17811	2	0.42115443	0.986752057	0.297956405	3	0	FALSE
103	1	1	2	180291.1277	2	0.2	0.9721	1.1016	3	0	FALSE
104	1	1	2	235868.578	2	0.2	0.8916	1.099928232	3	1996	TRUE
105	1	1	2	344482.4561	2	0.336157814	0.935512985	0	3	1996	TRUE
