WY,Precipitation,SW Irrigation,GW Irrigation,ET,Recharge,Storage
1991,60392632,26067058,50889623,-125609101,-11112483,-627823
1992,65247484,29467082,59344894,-138766941,-15742994,450435
1993,111509026,38213377,44370403,-149680486,-38026202,-6386021
1994,41791094,25534520,67182039,-131585899,-11493970,8572270
1995,144687212,36152225,41656278,-145799655,-69855283,-6840662
1996,119404430,39654120,55911150,-149287847,-67246682,1564861
1997,134861030,30358569,34840730,-111313576,-76032523,-12714178
1998,107472621,41280814,46022003,-144208705,-59035695,8469072
1999,87304753,47939193,55628947,-142590306,-55285058,7002666
2000,95814821,28943931,42925411,-129927266,-36429755,-1327074
2001,52429228,24037775,69514410,-135824916,-14017957,3861556
2002,96767170,31964204,58233387,-138053109,-47841908,-1069920
2003,186516250,39812345,47422185,-160373505,-107129653,-6247359
2004,110574074,35093639,59999809,-147841739,-64579752,6754153
2005,150619618,33026089,52347843,-145614384,-87386886,-2992080
2006,152379219,37534791,48426897,-139038964,-100077773,775686
2007,79019587,29376357,58193565,-131424005,-37654064,2488688
2008,101304209,33551794,53499214,-135424149,-52360722,-570239
2009,78921843,28673266,55149412,-138378555,-23823321,-542670
2010,99571281,33787195,42959160,-141830729,-32894826,-1591923
2011,127866423,34643835,36698594,-131742822,-66103085,-1363001
2012,75246677,26622032,44668891,-127880176,-22225399,3568054
2013,91833944,25679980,51885421,-135023867,-26015156,-8360240
2014,64949104,18783218,58766111,-130166011,-16062107,3729725
2015,104173582,20560420,50678112,-132120018,-47508081,4215998
2016,112352422,29308813,53465352,-137430069,-56701330,-995055
2017,152582948,36420183,45024527,-138109826,-92939340,-2978507
2018,57508830,21946183,57582960,-126827280,-14468689,4258022
