Month,Precipitation,SW Irrigation,GW Irrigation,ET,Recharge,Storage
1990-10-01,3845304,1785325,616231,-8976973,-260642,2990760
1990-11-01,5647104,0,0,-2925872,-520837,-2200374
1990-12-01,3638620,0,0,-612621,-346733,-2679259
1991-01-01,4377612,0,0,-818005,-435094,-3124513
1991-02-01,4512032,0,0,-1080220,-623041,-2808768
1991-03-01,16012325,114541,655251,-12931826,-2601012,-1249381
1991-04-01,5975018,2280707,4134993,-13526810,-486501,1622575
1991-05-01,5073978,4876630,5830779,-14755689,-391487,-634244
1991-06-01,5520738,7539627,9004895,-18618852,-1170465,-2275942
1991-07-01,4052417,5064586,14403428,-23066380,-2207205,1753123
1991-08-01,1385362,2317846,13279788,-16937988,-1306760,1261786
1991-09-01,352122,2087796,2964258,-11357865,-762706,6716414
1991-10-01,3251426,1427849,600904,-8132724,-525041,3377568
1991-11-01,12874837,0,0,-2249354,-2087447,-8538050
1991-12-01,9508832,0,0,-606897,-2678814,-6223118
1992-01-01,8770522,0,0,-821369,-2730549,-5218612
1992-02-01,626675,0,0,-1114699,-189961,677988
1992-03-01,7314854,130997,704489,-11726397,-783132,4359209
1992-04-01,6320702,3234985,5303089,-16873108,-324619,2338942
1992-05-01,2210231,7809042,9379840,-19956516,-173555,730944
1992-06-01,12243382,6303665,9967918,-24426068,-2117434,-1971456
1992-07-01,1314239,5598325,14673353,-22538400,-1930227,2882690
1992-08-01,0,1643476,16077472,-17597586,-1400522,1277151
1992-09-01,811784,3318743,2637829,-12723823,-801693,6757179
1992-10-01,11710821,1543642,479970,-10283030,-1559234,-1892159
1992-11-01,5510409,0,0,-3164854,-807169,-1538391
1992-12-01,21226492,0,0,-630469,-6018598,-14577425
1993-01-01,25138278,0,0,-631572,-14082925,-10423813
1993-02-01,827204,0,0,-900184,-578055,651033
1993-03-01,9337073,0,1559,-11687007,-837442,3185840
1993-04-01,9285656,346648,302793,-14887733,-800871,5753518
1993-05-01,18424866,5792404,6959752,-21767118,-2725852,-6684042
