Day Scott_River_Avg_Flow_m3day South_Fork_Avg_Flow_m3day Wildcat_Avg_Flow_m3day Sugar_Avg_Flow_m3day McConaughy_Main_Avg_Flow_m3day McConaughy_Branch_Avg_Flow_m3day Miners_Avg_Flow_m3day French_Avg_Flow_m3day Clark_Avg_Flow_m3day Etna_Avg_Flow_m3day Heartstrand_Avg_Flow_m3day Shell_Avg_Flow_m3day Hamlin_Avg_Flow_m3day Johnson_Avg_Flow_m3day Crystal_Avg_Flow_m3day Patterson_Avg_Flow_m3day Kidder_Avg_Flow_m3day Moffett_Avg_Flow_m3day McAdams_Avg_Flow_m3day Indian_Avg_Flow_m3day Rattlesnake_Avg_Flow_m3day Mill_Avg_Flow_m3day Shackleford_Avg_Flow_m3day Sniktaw_Avg_Flow_m3day Patterson_North_Avg_Flow_m3day
1990-10-01 8706.67567324981 8719.64259405466 493.644225397475 3034.50412721829 688.432870398227 99.108223157375 295.065656670869 1855.59864906689 242.187626144506 6018.71149560013 409.877026874853 155.245607047062 515.769418204007 412.495655925218 222.407617470784 2954.81096920318 5935.28773998064 5561.79791378628 885.787683271861 598.758644862651 243.299621080428 1867.55411645668 4767.26034279835 199.906132484536 174.528885864566
1990-10-02 8187.50952328954 8358.5260825837 483.569853450588 2906.30287246844 614.014904167656 91.1397228030132 290.168301373427 1719.25918946058 235.85132197212 5628.41872078213 391.576542418195 154.25203516196 511.433197032744 410.49688836168 217.297595625175 2886.68852610916 5491.77130267881 5097.78447747525 882.82878120202 592.994120445806 239.21257210971 1697.76028941964 4654.21506570688 191.318279537706 168.742119091868
1990-10-03 7776.23794078095 8135.64184007013 475.562019338959 2821.16158114602 577.739479768523 86.6574413536847 288.943962549067 1636.07351527582 229.515017799735 5404.29805619173 382.695424961288 153.755249219411 509.505987623295 408.747966743584 212.674242526767 2832.75825865972 5212.34615652881 4832.30668588314 879.600888034919 590.738436978346 238.010498883028 1599.3368236424 4575.34626773608 184.877389827584 166.427412382789
1990-10-04 7461.11729933476 7964.62528077596 468.070819686146 2743.84937408314 559.601767568958 83.669253720799 288.209359254451 1581.32511629161 224.586781221213 5230.71699837437 376.774679990016 153.506856248135 507.337877037663 407.248891070931 209.267561296361 2780.37622855334 5045.31767042794 4659.22432894869 876.641985965077 588.73338500727 237.289254947019 1538.28935752741 4514.88018929181 179.629257471188 165.501529699157
1990-10-05 7203.49149541951 7803.39507680621 460.579620033332 2666.04784925403 549.199256160384 82.4241755404299 287.474755959835 1533.4867094122 219.423866710381 5051.05001932256 371.661309333008 153.010070305584 505.410667628214 405.499969452834 205.130876945154 2723.60752597498 4900.41605294301 4512.86792418794 873.952074992493 586.728333036193 236.56801101101 1499.84547216053 4443.6592747606 173.426919231811 165.038588357341
1990-10-06 7000.66928132099 7649.25998044666 453.088420380519 2609.53164725553 543.064441739941 82.1751599043561 286.740152665218 1488.30599180387 214.260952199548 4893.60988304004 368.970061618794 152.761677334309 503.483458218764 403.751047834738 200.994192593946 2666.32274428228 4773.9208571386 4396.80093189073 870.99317292265 584.723281065117 235.846767075 1480.80151042787 4364.07348771734 166.986029521689 164.575647015525
1990-10-07 6862.43701236361 7540.38677746253 447.405441333557 2578.45996910051 539.063475813567 81.9261442682823 286.005549370602 1456.14795162382 210.506105282579 4774.00830051955 367.355312990266 152.264891391758 501.556248809315 402.501818107527 198.074180110742 2623.23013823418 4698.92447944032 4323.74999594928 868.034270852808 582.968860590425 235.125523138991 1471.36852003692 4322.72711787204 163.40775746051 163.881235002802
1990-10-08 6773.13652002831 7462.58525263342 442.497413974817 2546.16499652993 535.595972010709 81.9261442682823 285.270946075986 1431.962979257 207.220614230231 4662.08027085987 365.740564361737 152.016498420483 499.869940576046 401.002742434873 195.640836374738 2584.26616510085 4635.08944254831 4266.98916418989 865.344359880225 580.963808619348 234.404279202982 1464.42726295679 4286.16067517649 159.829485399331 163.418293660986
1990-10-09 6700.71749062763 7371.81680699946 437.331069386669 2499.92446762207 532.395199269609 81.6771286322085 284.53634278137 1404.5887797649 203.935123177883 4544.33092523682 363.856690961787 151.768105449207 497.942731166596 399.753512707662 192.720823891533 2542.46375683861 4561.85538181944 4209.71926667482 862.654448907641 579.209388144657 233.683035266973 1458.37591063052 4243.38032718628 155.774110396661 162.955352319171
1990-10-10 6623.89460133097 7257.3164497038 431.648090339707 2449.76939658444 529.19442652851 81.4281129961347 283.801739486754 1370.5703570951 200.180276260914 4424.46473744526 361.972817561837 151.271319506658 496.015521757146 398.254437035009 189.800811408327 2493.69428053267 4476.08928930809 4149.14044174775 859.964537935057 577.20433617358 232.961791330964 1453.03648210735 4182.914248742 151.003080981755 162.260940306446
