Date	mean_cfs	Qual_Flag	Data_Source
10/01/1955	NA	255	DWR
10/02/1955	NA	255	DWR
10/03/1955	NA	255	DWR
10/04/1955	NA	255	DWR
10/05/1955	NA	255	DWR
10/06/1955	NA	255	DWR
10/07/1955	NA	255	DWR
10/08/1955	NA	255	DWR
10/09/1955	NA	255	DWR
10/10/1955	NA	255	DWR
10/11/1955	NA	255	DWR
10/12/1955	NA	255	DWR
10/13/1955	NA	255	DWR
10/14/1955	NA	255	DWR
10/15/1955	NA	255	DWR
10/16/1955	NA	255	DWR
10/17/1955	NA	255	DWR
10/18/1955	NA	255	DWR
10/19/1955	NA	255	DWR
10/20/1955	NA	255	DWR
10/21/1955	NA	255	DWR
10/22/1955	NA	255	DWR
10/23/1955	NA	255	DWR
10/24/1955	NA	255	DWR
10/25/1955	NA	255	DWR
10/26/1955	NA	255	DWR
10/27/1955	NA	255	DWR
10/28/1955	NA	255	DWR
10/29/1955	NA	255	DWR
10/30/1955	NA	255	DWR
10/31/1955	NA	255	DWR
11/01/1955	NA	255	DWR
11/02/1955	NA	255	DWR
11/03/1955	NA	255	DWR
11/04/1955	NA	255	DWR
11/05/1955	NA	255	DWR
11/06/1955	NA	255	DWR
11/07/1955	NA	255	DWR
11/08/1955	NA	255	DWR
11/09/1955	NA	255	DWR
11/10/1955	NA	255	DWR
11/11/1955	NA	255	DWR
11/12/1955	NA	255	DWR
11/13/1955	NA	255	DWR
11/14/1955	NA	255	DWR
11/15/1955	NA	255	DWR
11/16/1955	NA	255	DWR
11/17/1955	NA	255	DWR
11/18/1955	NA	255	DWR
11/19/1955	NA	255	DWR
11/20/1955	NA	255	DWR
11/21/1955	NA	255	DWR
11/22/1955	NA	255	DWR
11/23/1955	NA	255	DWR
11/24/1955	NA	255	DWR
11/25/1955	NA	255	DWR
11/26/1955	NA	255	DWR
11/27/1955	NA	255	DWR
11/28/1955	NA	255	DWR
11/29/1955	NA	255	DWR
11/30/1955	NA	255	DWR
12/01/1955	NA	255	DWR
12/02/1955	NA	255	DWR
12/03/1955	NA	255	DWR
12/04/1955	NA	255	DWR
12/05/1955	NA	255	DWR
12/06/1955	NA	255	DWR
12/07/1955	NA	255	DWR
12/08/1955	NA	255	DWR
12/09/1955	NA	255	DWR
12/10/1955	NA	255	DWR
12/11/1955	NA	255	DWR
12/12/1955	NA	255	DWR
12/13/1955	NA	255	DWR
12/14/1955	NA	255	DWR
12/15/1955	NA	255	DWR
12/16/1955	NA	255	DWR
12/17/1955	NA	255	DWR
12/18/1955	NA	255	DWR
12/19/1955	NA	255	DWR
12/20/1955	NA	255	DWR
12/21/1955	NA	255	DWR
12/22/1955	NA	255	DWR
12/23/1955	NA	255	DWR
12/24/1955	NA	255	DWR
12/25/1955	NA	255	DWR
12/26/1955	NA	255	DWR
12/27/1955	NA	255	DWR
12/28/1955	NA	255	DWR
12/29/1955	NA	255	DWR
12/30/1955	NA	255	DWR
12/31/1955	NA	255	DWR
01/01/1956	NA	255	DWR
01/02/1956	NA	255	DWR
01/03/1956	NA	255	DWR
01/04/1956	NA	255	DWR
01/05/1956	NA	255	DWR
01/06/1956	NA	255	DWR
01/07/1956	NA	255	DWR
01/08/1956	NA	255	DWR
01/09/1956	NA	255	DWR
01/10/1956	NA	255	DWR
01/11/1956	NA	255	DWR
01/12/1956	NA	255	DWR
01/13/1956	NA	255	DWR
01/14/1956	NA	255	DWR
01/15/1956	NA	255	DWR
01/16/1956	NA	255	DWR
01/17/1956	NA	255	DWR
01/18/1956	NA	255	DWR
01/19/1956	NA	255	DWR
01/20/1956	NA	255	DWR
01/21/1956	NA	255	DWR
01/22/1956	NA	255	DWR
01/23/1956	NA	255	DWR
01/24/1956	NA	255	DWR
01/25/1956	NA	255	DWR
01/26/1956	NA	255	DWR
01/27/1956	NA	255	DWR
01/28/1956	NA	255	DWR
01/29/1956	NA	255	DWR
01/30/1956	NA	255	DWR
01/31/1956	NA	255	DWR
02/01/1956	NA	255	DWR
02/02/1956	NA	255	DWR
02/03/1956	NA	255	DWR
02/04/1956	NA	255	DWR
02/05/1956	NA	255	DWR
02/06/1956	NA	255	DWR
02/07/1956	NA	255	DWR
02/08/1956	NA	255	DWR
02/09/1956	NA	255	DWR
02/10/1956	NA	255	DWR
02/11/1956	NA	255	DWR
02/12/1956	NA	255	DWR
02/13/1956	NA	255	DWR
02/14/1956	NA	255	DWR
02/15/1956	NA	255	DWR
02/16/1956	NA	255	DWR
02/17/1956	NA	255	DWR
02/18/1956	NA	255	DWR
02/19/1956	NA	255	DWR
02/20/1956	NA	255	DWR
02/21/1956	NA	255	DWR
02/22/1956	NA	255	DWR
02/23/1956	NA	255	DWR
02/24/1956	NA	255	DWR
02/25/1956	NA	255	DWR
02/26/1956	NA	255	DWR
02/27/1956	NA	255	DWR
02/28/1956	NA	255	DWR
02/29/1956	NA	255	DWR
03/01/1956	NA	255	DWR
03/02/1956	NA	255	DWR
03/03/1956	NA	255	DWR
03/04/1956	NA	255	DWR
03/05/1956	NA	255	DWR
